,Zipcode,Population,Household Income,Median Age,Per Capita Income,lat,lng,city,state_id,Age_sqd,Popn_sqd,Income_sqd,zscore_age,zscore_pop,zscore_inc,c_zscore
19416,57257,655.0,52708.0,30.1,19053.0,45.49709,-97.02624,Peever,SD,0.010000000000000285,96921138.72521748,23913592.1443187,0.9932679940038687,0.3453151076287304,0.7934099155743188,0.27213201941806203
19421,57262,5693.0,42161.0,33.8,24963.0,45.67323,-97.07149,Sisseton,SD,14.439999999999978,23105839.734928954,238305679.42665508,0.7441837721470128,0.6803432029563001,0.3478398459567621,0.17611144310191942
19423,57264,289.0,48281.0,38.8,28625.0,45.11133,-96.80465,Stockholm,SD,77.43999999999996,104261527.4235989,86809331.98682398,0.40758347234045034,0.32097602805550873,0.6063862407666083,0.07933019134052487
19425,57266,609.0,51563.0,34.7,23220.0,45.27906,-97.09699,Summit,SD,22.09000000000003,97828981.2392217,36423066.52644396,0.6835957181818311,0.34225609762772435,0.7450380819048297,0.17431268795600768
19426,57268,456.0,61250.0,40.0,30479.0,44.56975,-96.69075,Toronto,SD,100.0,100878991.38362706,13335989.662123067,0.32679940038687516,0.3320815643635088,0.845723531408409,0.09178134797909905
19428,57270,939.0,43750.0,32.5,19438.0,45.84287,-97.34063,Veblen,SD,6.25,91409917.98658271,191771329.5636009,0.8316998500967188,0.36420116937407176,0.4149689670928479,0.12569661400341514
19430,57272,272.0,73571.0,37.4,22796.0,45.10327,-97.46793000000001,Wallace,SD,54.75999999999998,104608985.43964393,255131855.06634545,0.5018315562862877,0.3198455243594849,0.32520880421035103,0.05219880247639977
19431,57273,1164.0,43472.0,44.5,24182.0,45.33582,-97.27351999999999,Waubay,SD,210.25,87158158.9506925,199548186.39175007,0.023859130560969,0.3791637182920359,0.40322453935475366,0.0036477775124743135
19433,57276,1275.0,65446.0,37.4,30019.0,44.43013,-96.6135,White,SD,54.75999999999998,85097920.49298665,61588709.3063173,0.5018315562862877,0.3865452424248982,0.6684587156204818,0.12966802311976322
19434,57278,816.0,53882.0,27.6,22521.0,44.63908,-97.69546,Willow Lake,SD,5.759999999999994,93777016.9262027,13809789.913213843,0.8384318560928501,0.35602164263225133,0.8430068873891489,0.25163746032356676
19436,57301,18465.0,47063.0,38.9,29386.0,43.713770000000004,-98.04725,Mitchell,SD,79.20999999999998,63443560.150974005,110989439.64396682,0.400851466344319,0.47031602024264396,0.5549304386622957,0.10461929664849882
19437,57311,1607.0,63478.0,35.0,26020.0,43.65292,-97.76171,Alexandria,SD,25.0,79082841.82669531,34572605.816380635,0.6633997001934375,0.4086233146060718,0.7515991249318832,0.2037439300223538
19440,57314,787.0,59500.0,38.8,37312.0,44.05028,-97.98514,Artesian,SD,77.43999999999996,94339521.42416188,3617023.65227085,0.40758347234045034,0.35409313632726935,0.9196542815582832,0.13272681428001942
19441,57315,1118.0,60000.0,37.0,28247.0,42.99326,-98.04664,Avon,SD,49.0,88019173.46469672,5768871.083657198,0.5287595802708126,0.3761047082910298,0.8985312100868906,0.17868997419067803
19442,57317,652.0,49063.0,39.8,26346.0,43.12625,-98.98066999999999,Bonesteel,SD,96.03999999999995,96980216.84569602,72848829.36951222,0.3402634123791378,0.3451156069764909,0.6394227245478663,0.07508754744093972
19444,57321,456.0,60417.0,36.8,26427.0,43.87233,-97.55062,Canova,SD,46.23999999999996,100878991.38362706,7945900.841433412,0.5422235922630754,0.3320815643635088,0.8809145684797491,0.15861964315226268
19445,57322,413.0,50938.0,36.1,27512.0,44.63068,-97.97403,Carpenter,SD,37.210000000000015,101744611.77715273,44357632.237211026,0.5893476342359938,0.32922205501474233,0.7186342425655888,0.13943389948935853
19447,57324,345.0,65250.0,40.3,31838.0,44.29847,-98.05399,Cavour,SD,106.08999999999995,103121047.8413329,58550769.11321385,0.3066033823984816,0.32470004023064647,0.6767389596372677,0.06737215876959256
19448,57325,3112.0,50795.0,42.9,31600.0,43.756040000000006,-99.29632,Chamberlain,SD,166.40999999999997,54580378.0532963,46282884.87183453,0.13157122649906905,0.5087061418128984,0.7125930441247705,0.04769462988650941
19450,57329,313.0,56458.0,35.1,26050.0,42.979490000000006,-98.15395,Dante,SD,26.010000000000016,103771982.4597706,1299947.8797163083,0.6566676941973062,0.322572033273425,0.9518329516097638,0.20161976227378256
19452,57331,429.0,70500.0,36.3,25981.0,43.47318,-98.03724,Dimock,SD,39.68999999999996,101422088.46793388,166457667.1427705,0.5758836222437316,0.33028605849335313,0.4549467091876447,0.08653374469256589
19453,57332,904.0,63594.0,33.7,24253.0,43.54804,-97.64734,Emery,SD,13.69000000000002,92080402.72549897,35950186.420462266,0.7509157781431436,0.36187366176461067,0.7466985723505202,0.2029053628708005
19454,57334,969.0,62000.0,37.2,30185.0,43.54635,-97.99427,Ethan,SD,51.84000000000004,90837166.78179735,19376260.80920259,0.5152955682785498,0.366196175896467,0.81403892420132,0.15360854794808196
19456,57337,165.0,42708.0,33.9,23558.0,44.00976,-97.79213,Fedora,SD,15.209999999999988,106809195.07004507,221716643.51659173,0.7374517661508815,0.31273000109627525,0.3709484861464657,0.08554936090279149
19458,57340,327.0,44250.0,36.6,21243.0,43.79557,-97.84510999999999,Fulton,SD,43.56000000000002,103486946.56420411,178173176.99498725,0.5556876042553375,0.32350303631720934,0.4360920385642406,0.07839479493037849
19459,57341,108.0,38646.0,35.5,21973.0,44.08987,-99.08811,Gann Valley,SD,30.25,107990617.35913725,359184086.984009,0.6297396702127813,0.30893948870372434,0.19934465351287167,0.03878279173593945
19460,57342,587.0,56042.0,35.9,26917.0,43.24661,-98.7018,Geddes,SD,34.80999999999998,98264662.78939763,2421610.8168028668,0.6028116462282564,0.34079309284463455,0.9342585561455651,0.19192851456464025
19465,57349,1449.0,52917.0,42.9,25691.0,44.03028,-97.57578000000001,Howard,SD,166.40999999999997,81917947.50523156,21913189.37063819,0.13157122649906905,0.3981162802547904,0.802239359449361,0.04202181692335132
19466,57350,15604.0,49686.0,36.0,25298.0,44.40229,-98.20053,Huron,SD,36.0,26052312.3806714,62602158.26901961,0.5960796402321251,0.6605731422617342,0.6657420716012217,0.26213873746635574
19467,57353,800.0,55476.0,42.8,30139.0,44.35872,-97.84415,Iroquois,SD,163.83999999999992,94087156.23542157,4503531.524473521,0.13830323249520038,0.35495763915364065,0.9103472392399486,0.0446905744888334
19468,57355,1165.0,51630.0,38.5,25932.0,43.7787,-98.9494,Kimball,SD,72.25,87139488.24386632,35618845.08224973,0.4277794903288439,0.37923021850944905,0.7478685734819963,0.12132440745641454
19469,57356,1960.0,40238.0,30.7,16638.0,43.15886,-98.52728,Lake Andes,SD,0.489999999999999,72929096.31705421,301374897.20554316,0.9528759580270814,0.4320978913529222,0.2666005130777859,0.10976894678879769
19471,57359,848.0,53208.0,44.5,28994.0,43.89805,-98.17520999999999,Letcher,SD,210.25,93158274.30776498,19273439.575705048,0.023859130560969,0.35814964958947293,0.8145329870457115,0.006960297797959323
19472,57361,216.0,37083.0,27.1,9615.0,42.99703,-98.42921,Marty,SD,8.409999999999991,105757641.02190995,420871484.9134953,0.8047718261121939,0.31612151218434714,0.13331393209329823,0.03391582243206668
19473,57362,2072.0,45313.0,44.8,30596.0,44.49158,-99.07086,Miller,SD,219.0399999999999,71028713.15252219,150924973.63411462,0.0036631125725754554,0.4395459157031977,0.48099968851242136,0.0007744605662595202
19474,57363,995.0,55227.0,36.0,28991.0,43.67863,-98.25553000000001,Mount Vernon,SD,36.0,90342238.40431671,5622364.50364312,0.5960796402321251,0.3679251815492095,0.899827949647195,0.19734370603606854
19477,57366,2435.0,57050.0,39.5,28325.0,43.38348,-97.94397,Parkston,SD,90.25,65041860.57461931,300471.23847774445,0.36045943036753136,0.46368549462417974,0.9768426682318927,0.16326929724718242
19479,57368,1167.0,65060.0,36.9,31812.0,43.751290000000004,-98.47749,Plankinton,SD,47.60999999999998,87102152.83021396,55679167.08928704,0.5354915862669439,0.3793632189442754,0.6847657267963969,0.13910728952025717
19481,57370,761.0,51719.0,36.7,22801.0,43.801520000000004,-99.16909,Pukwana,SD,44.890000000000036,94845265.80164254,34564434.925036505,0.5489555982592061,0.35236413067452677,0.7516284802039042,0.1453891972293631
19488,57380,3905.0,43317.0,31.3,18621.0,43.03051,-98.30763,Wagner,SD,1.690000000000002,43492091.54013655,203951318.68802032,0.9124839220502937,0.5614408142215452,0.39667638719862186,0.20321958062754583
19491,57383,799.0,62450.0,34.8,32585.0,43.719609999999996,-98.71463,White Lake,SD,23.039999999999974,94106556.94224773,23540423.497450303,0.6768637121857002,0.3548911389362275,0.7950281598770665,0.1909760466758213
19492,57384,913.0,77422.0,41.4,35663.0,44.41466,-98.49125,Wolsey,SD,129.95999999999998,91907758.36406337,392984926.9828831,0.23255131644103777,0.3624721637213293,0.16251890773768474,0.013699267859672598
